t,ur,ui,ir,ii,omega
0.0,0.17479998796760207,0.968684936238113,-0.7387921990791235,-1.895102167665209,0.0
0.1,0.17371603243251793,0.9689851979575457,-0.6473036464692885,-1.8613316883825226,0.011377593276920006
0.2,0.17924818749378524,0.9679527974195451,-0.6820015577319095,-1.8306268106737043,-0.057166760947116035
0.3,0.17252659677756005,0.9698787124200731,-0.7898642024854763,-1.8322939817323096,0.07065206386549505
0.4,0.1721074412696206,0.9697122281033648,-0.7253842003680666,-1.8586596432112041,0.0038941293628180773
0.5,0.18570028005305375,0.9692751421368004,-0.6382063191328554,-1.8617451635477487,-0.136390995937421
0.6,0.1739696584094355,0.9653884193413796,-0.7363955603099384,-1.9138267601499448,0.10999627760541086
0.7,0.17681881744506853,0.9686026981292495,-0.6817956766471082,-1.8257029954952304,-0.022688611019989757
0.8,0.17743446627807324,0.9730259602910516,-0.7169960391105626,-1.8090568501882944,0.0019078604596267645
0.9,0.1714244015949274,0.9651814458367846,-0.7241905485941792,-1.9037616340762529,0.045959153030701305
1.0,0.18173569218575839,0.9674748546812774,-0.702871435716432,-1.8734063170448794,-0.09906088026925719
1.1,0.177495951996976,0.9691929808670112,-0.7155453784432946,-1.8113096506042572,0.04550915219209806
1.2,0.17645218588024764,0.966988284026521,-0.6728762829562754,-1.8496722878056364,0.006404486739117754
1.3,0.1791012900838429,0.9694938881140779,-0.6986960646270503,-1.9159886278565263,-0.02187129736895166
1.4,0.17329894996233752,0.9716920316152053,-0.7301610739014535,-1.8498287915609903,0.06185411427774179
1.5,0.1802339665193377,0.9718409163804912,-0.7307333016724791,-1.8087140077361525,-0.0688093229995479
1.6,0.1807041637539576,0.9703343844925024,-0.7010560299592857,-1.8465165202719545,-0.007467201342659102
1.7,0.17590524766023352,0.971482553212853,-0.6731875265019088,-1.9042359057067468,0.04991526588207451
1.8,0.17929223522364585,0.9742378610203476,-0.7166263629267249,-1.8737681529456447,-0.028688518287707243
1.9,0.17725187447540114,0.9709190051807051,-0.7693190686301579,-1.8524908982748243,0.014245378916490914
2.0,0.18158216730124727,0.9701504564527517,-0.6888372743252082,-1.8646618355591287,-0.04455864671177201
2.1,0.18077647569102773,0.9705117459087935,-0.6841309874314887,-1.869962126465869,0.008695332980641624
2.2,0.17620096552333248,0.9714835644967372,-0.7054505571728025,-1.846237882015526,0.04736108480325463
2.3,0.17895365034760188,0.9702281062400062,-0.6896862395008282,-1.8617284000234022,-0.029724000533253303
2.4,0.17671033340773576,0.9693108161860803,-0.7725952265723866,-1.8422529573443722,0.02070182563379319
2.5,0.17607612226070485,0.9715547826912805,-0.6813315788317887,-1.8302643891878696,0.010394986691544261
2.6,0.1801254831969231,0.9696914095670431,-0.7175494475517085,-1.8476283790143637,-0.04376811150747395
2.7,0.17822060939207848,0.9685135742700146,-0.6876036200425284,-1.9020706939611602,0.01683357461829571
2.8,0.17957029939750782,0.9737921254733106,-0.6992688833662775,-1.8222438750897958,-0.003757908700814383
2.9,0.17852494878672742,0.9668142705044397,-0.7815194415594695,-1.8668650450860138,-0.0024145158966248914
3.0,0.17463896409248297,0.9695418737891699,-0.7224578069057522,-1.84385744979536,0.04381775200617888
3.1,0.1830780410625136,0.9712984439344208,-0.6675435134939676,-1.83623365580682,-0.08087917985830195
3.2,0.17594427872126792,0.9687028179648971,-0.7267004879526537,-1.8408597173000607,0.06632044066591902
3.3,0.1773588140899706,0.9678020590533291,-0.6910662888110799,-1.876516720907489,-0.01578113281347937
3.4,0.17737353832315964,0.9719485017408721,-0.7212222434449997,-1.8418687681997545,0.007418460992687503
3.5,0.17398986875498304,0.9685823878849794,-0.7155032515006368,-1.8534241792797166,0.027684457553347475
3.6,0.18078213405528568,0.969101486707658,-0.7122398386920653,-1.855132149373731,-0.06688376849200095
3.7,0.17847464414034406,0.9686772461406088,-0.7572960724551601,-1.830245057500726,0.022239623728270708
3.8,0.1773997927726007,0.9692296432064059,-0.6913743472880283,-1.822927526065061,0.011743789288050088
3.9,0.17901092501561183,0.9675161634412547,-0.6853477012754268,-1.8885664572253495,-0.019242106529928638
4.0,0.17333942856554668,0.9698449731498233,-0.7301562846897173,-1.8819563314204024,0.060906277224204164
4.1,0.17803407815667904,0.9708743440754473,-0.7567695657847766,-1.8088013701483687,-0.04498520815385154
4.2,0.17849844951303462,0.9680694091469559,-0.691521432019598,-1.8509128490140672,-0.00977942092618811
4.3,0.17560489316947728,0.9679672269809316,-0.6917900414018657,-1.9096670192513958,0.028737122695552397
4.4,0.1803343848209154,0.9700798802270054,-0.6909637501297844,-1.8468302209715863,-0.04334079301070881
4.5,0.17124710012103087,0.9675349241701154,-0.782484262890047,-1.8455269254863773,0.0861941069854244
4.6,0.17489130024088098,0.9652548628520152,-0.7273236960350072,-1.8186310804955597,-0.0406313477182807
4.7,0.17725868530204325,0.9655952316637351,-0.713118941701232,-1.8571606457780525,-0.023109979095095046
4.8,0.17554376605403088,0.9673465181519832,-0.6931169996147393,-1.9171138624952009,0.02037280211948822
4.9,0.17960750340572534,0.9662514221723459,-0.664126376484431,-1.8643126924564228,-0.04267368020633544
5.0,0.17613069663446912,0.971020665189261,-0.8207028226768645,-1.7881124896899805,0.043469452207580694
5.1,0.1772066546668884,0.9688787482453607,-0.6842072996513888,-1.862385291261488,-0.014629784368518362
5.2,0.18203647298326392,0.9676718949814173,-0.6949782231979984,-1.8511999389406892,-0.05045632613863704
5.3,0.1776686283647808,0.9705853975703342,-0.6732958952667103,-1.8347473312170526,0.0489626301585
5.4,0.17853541634438164,0.9665007997896107,-0.7047827971605517,-1.9110442052671743,-0.016158060212529968
5.5,0.1792304401370935,0.9703104510357922,-0.771291684330742,-1.8208336065858957,8.678674062512215e-5
5.6,0.17041341380787,0.970428464805384,-0.8032534496896142,-1.8278904207766296,0.08821778950527825
