t,ur,ui,ir,ii,omega
3.9,-0.08852729597321843,0.9798282313636714,-0.20411198653837914,-1.9787392395119914,-0.0008848177897347043
4.0,-0.08676446380091192,0.9834179305247903,-0.15400834160691917,-1.951147124010588,-0.021055665226741294
4.1,-0.08595664798133656,0.9829706682539168,-0.2089343992337162,-1.9272035566548615,-0.007756816270945155
4.2,-0.08738677392625564,0.980912352220893,-0.20614966279113284,-2.0439578703805394,0.016287584332435046
4.3,-0.08509469905555017,0.9803688649026655,-0.15686037000881542,-2.020347068461634,-0.02271019658550033
4.4,-0.08720996323028926,0.9812640770613625,-0.2111547556821627,-1.9687243752786283,0.020605668123743204
4.5,-0.08798820951454017,0.984212224413195,-0.2241535794180915,-1.9509255757669957,0.005203755410132516
4.6,-0.08171213916718137,0.9803424626454917,-0.1683491446825855,-2.0597681568461432,-0.06004210840573565
4.7,-0.08850203933658785,0.984296024575521,-0.24781799304407626,-1.9601927557450172,0.06514525247073077
4.8,-0.08604669894780817,0.9798822630861705,-0.18305663473834716,-2.036001232388967,-0.02084283617969973
4.9,-0.08268016151767704,0.9780714921857312,-0.14197891962079445,-2.0253536892423116,-0.032552648415526964
5.0,-0.09074428663578016,0.9854823038215148,-0.21260325080016557,-1.9409166964292037,0.07488795309969376
5.1,-0.08840717028469325,0.9828827582654334,-0.19888832381327792,-1.991641494602172,-0.02116745429086464
5.2,-0.08604297010118978,0.9792813396725111,-0.19242109954185593,-1.9825410134871413,-0.020670906917923393
5.3,-0.08794910271852147,0.9805751821148978,-0.15721083920325196,-1.989803323848379,0.018136642771247047
5.4,-0.08902749292801002,0.9785489184493051,-0.23676154428324014,-1.9479763917321455,0.01277328444020398
5.5,-0.08652283697654486,0.979934995944887,-0.1812582890491533,-2.0271390024906277,-0.026632271590238954
5.6,-0.08729196196155384,0.9829245632503507,-0.13301111786442266,-2.028744164817016,0.005099398295576041
5.7,-0.08929394651401687,0.9815385942773167,-0.2548723864710343,-1.9865567207922306,0.021476850065247355
5.8,-0.08901174297761866,0.9855476108579642,-0.23517161067328785,-1.9351684359327084,-0.006510547384308563
5.9,-0.08206781184189088,0.9822334312327398,-0.11487520780342542,-2.039027121149457,-0.0671402440898583
6.0,-0.08936715643431675,0.9852249845894447,-0.1874959361228299,-2.040992036627236,0.07101171792117889
6.1,-0.08884483707436988,0.9889304586189421,-0.18931222992090102,-2.003488594877559,-0.008610251658516255
6.2,-0.08401448644507697,0.9846546931217802,-0.20960363649617808,-1.9418532698217275,-0.0448113064473854
6.3,-0.09007082689679241,0.9843245613831195,-0.2077295318529524,-1.990237749856449,0.06133439986337752
6.4,-0.0866155612492589,0.9842024520657445,-0.17170955824806788,-2.0755949200939736,-0.0347140427959558
6.5,-0.0865804274692546,0.9842556933032597,-0.19617931647282738,-1.9930656389618908,-0.0004014549070774365
6.6,-0.09039808515080927,0.9831021225709581,-0.18657688330130084,-1.9815867761866817,0.039544882968705064
6.7,-0.08759892440279968,0.9809977309782196,-0.19023512040814206,-1.9081937710661934,-0.026344927662336204
6.8,-0.08891057866072244,0.9834416018353886,-0.2079693160046634,-1.9491350370197265,0.011029327885119233
6.9,-0.0882945816117724,0.9791600855428719,-0.14954662417944753,-2.0900249359280716,-0.002318971006407544
7.0,-0.08439944556127355,0.9822552645931555,-0.1946652350783905,-1.9814186349984932,-0.042169504201732266
7.1,-0.09041801592537119,0.9875346894872539,-0.23469203530285998,-1.931211759016316,0.05591139515248145
7.2,-0.08594765238393254,0.9786847443146272,-0.1734794569127589,-2.0048099207707826,-0.037099352761085225
7.3,-0.08774281522620703,0.9815560161763938,-0.2042079936343878,-1.99303201275491,0.015597571658210185
7.4,-0.09170821136028462,0.9837648843396328,-0.19689985518340003,-2.005044540450384,0.03798452694354859
7.5,-0.08195279880914214,0.9762653970685553,-0.15405053474934416,-2.0353403844240994,-0.09204181736550687
7.6,-0.0915125794063304,0.9852377223587899,-0.20929489710613802,-1.940296838610975,0.0886916174906438
7.7,-0.08925238180988865,0.9821661847045261,-0.2609959340143013,-2.043938152169552,-0.019939285210082147
7.8,-0.08477695199315521,0.9796783783785922,-0.13640329292060194,-1.9980650638450106,-0.04303631038772071
7.9,-0.0899024901391251,0.9842822763539645,-0.16229272421990737,-1.947164142202519,0.04764925610208692
8.0,-0.08868947611247785,0.9776412456023991,-0.24732626178819073,-2.006517342389802,-0.006152063305187028
8.1,-0.08753256787325481,0.982161075410418,-0.17486185747922345,-1.9685317045287412,-0.015826008469104202
8.2,-0.08761262025951744,0.9843129672162065,-0.13518474209370168,-2.039598456997627,-0.001126166924572125
8.3,-0.0895462728452322,0.9804507156715979,-0.21894929329804957,-2.005013045453536,0.023041022366860897
8.4,-0.08862850439959558,0.985344175196713,-0.23570096598054435,-1.939268854394348,-0.013737089945313752
8.5,-0.08637998965372967,0.9794807446617062,-0.2002345465114953,-2.0193996257178086,-0.01743343522900176
8.6,-0.0899054640017462,0.9795242379071505,-0.13571809051199424,-2.0666397892351975,0.03566371159378079
8.7,-0.09024728956116251,0.9840563619743073,-0.17722892441823845,-2.0063359077449596,-0.0007472710230271851
8.8,-0.09041221339080607,0.9772263641130715,-0.23626740820102898,-1.9622205111008943,0.008029271327942844
8.9,-0.09383031401323438,0.9788381493891898,-0.2168481208902835,-1.9296840467410572,0.03310282364247463
9.0,-0.09012311312373261,0.978327525119517,-0.16673758168271502,-2.0116119971289868,-0.037065450674613754
9.1,-0.09151999251971621,0.9775095930943817,-0.17597236475582834,-2.04749177053817,0.014932199617729847
9.2,-0.0889309300939628,0.9824807545835909,-0.20391921070459973,-1.9628701355220164,-0.030828215470053433
9.3,-0.08957193719723272,0.9829210704889005,-0.21396074953120647,-1.9693294663395884,0.006065929299170492
