within_threshold,final_distance,convergence,perturbation,retcode
false,2.139918215216246,false,"[-0.9154909476207775, -0.4999999994684595, -3.5678391933221945]",Success
false,2.2598368995138935,false,"[-0.9154909476207775, -0.4999999994684595, -3.4673366807593804]",Success
false,2.2817135730675204,false,"[-0.9154909476207775, -0.4999999994684595, -3.3668341681965663]",Success
false,2.260430489537946,false,"[-0.9154909476207775, -0.4999999994684595, -3.2663316556337523]",Success
false,2.2588855856853454,false,"[-0.9154909476207775, -0.4999999994684595, -3.165829143070938]",Success
false,2.2786652388705337,false,"[-0.9154909476207775, -0.4999999994684595, -3.065326630508124]",Success
false,2.276392771593882,false,"[-0.9154909476207775, -0.4999999994684595, -2.96482411794531]",Success
false,2.208069295917094,true,"[-0.9154909476207775, -0.4999999994684595, -2.864321605382496]",Success
false,2.077524577167307,true,"[-0.9154909476207775, -0.4999999994684595, -2.763819092819682]",Success
false,1.8834672579030722,true,"[-0.9154909476207775, -0.4999999994684595, -2.663316580256868]",Success
false,1.811087576956989,false,"[-0.9154909476207775, -0.4999999994684595, -2.562814067694054]",Success
false,2.2803227311662106,false,"[-0.9154909476207775, -0.4999999994684595, -2.4623115551312393]",Success
false,1.7911992303331203,false,"[-0.9154909476207775, -0.4999999994684595, -2.3618090425684253]",Success
true,1.583917368337632e-8,true,"[-0.9154909476207775, -0.4999999994684595, -2.261306530005611]",Terminated
true,6.760243148071063e-8,true,"[-0.9154909476207775, -0.4999999994684595, -2.160804017442797]",Terminated
true,4.1220130223048746e-8,true,"[-0.9154909476207775, -0.4999999994684595, -2.060301504879983]",Terminated
true,3.9892982950553125e-8,true,"[-0.9154909476207775, -0.4999999994684595, -1.9597989923171693]",Terminated
true,1.4070110231956414e-9,true,"[-0.9154909476207775, -0.4999999994684595, -1.8592964797543552]",Terminated
true,9.042006249200082e-9,true,"[-0.9154909476207775, -0.4999999994684595, -1.7587939671915411]",Terminated
true,1.0481374487636216e-8,true,"[-0.9154909476207775, -0.4999999994684595, -1.658291454628727]",Terminated
true,1.1956680947418964e-8,true,"[-0.9154909476207775, -0.4999999994684595, -1.557788942065913]",Terminated
false,2.1628124123130843,false,"[-0.9154909476207775, -0.4999999994684595, -1.457286429503099]",Success
false,1.8165133406005813,true,"[-0.9154909476207775, -0.4999999994684595, -1.3567839169402849]",Success
false,2.1335506619928832,false,"[-0.9154909476207775, -0.4999999994684595, -1.2562814043774708]",Success
false,2.273533968983372,false,"[-0.9154909476207775, -0.4999999994684595, -1.1557788918146565]",Success
false,2.227692546992284,false,"[-0.9154909476207775, -0.4999999994684595, -1.0552763792518425]",Success
false,1.9973814687535019,false,"[-0.9154909476207775, -0.4999999994684595, -0.9547738666890285]",Success
false,1.80637760594039,true,"[-0.9154909476207775, -0.4999999994684595, -0.8542713541262145]",Success
false,1.7988292012254816,true,"[-0.9154909476207775, -0.4999999994684595, -0.7537688415634004]",Success
false,1.9088365096797084,true,"[-0.9154909476207775, -0.4999999994684595, -0.6532663290005863]",Success
false,2.0342674694543925,false,"[-0.9154909476207775, -0.4999999994684595, -0.5527638164377722]",Success
false,2.1396568963557954,false,"[-0.9154909476207775, -0.4999999994684595, -0.45226130387495816]",Success
false,2.2241760858986503,true,"[-0.9154909476207775, -0.4999999994684595, -0.3517587913121441]",Success
false,2.279156590405101,false,"[-0.9154909476207775, -0.4999999994684595, -0.25125627874933]",Success
false,2.2677950095947494,false,"[-0.9154909476207775, -0.4999999994684595, -0.15075376618651593]",Success
false,2.1819161670238136,false,"[-0.9154909476207775, -0.4999999994684595, -0.05025125362370187]",Success
false,2.04929220550911,false,"[-0.9154909476207775, -0.4999999994684595, 0.050251258939112205]",Success
false,1.9161081067123955,false,"[-0.9154909476207775, -0.4999999994684595, 0.15075377150192626]",Success
false,1.82087195863008,true,"[-0.9154909476207775, -0.4999999994684595, 0.2512562840647403]",Success
false,1.781535160568509,true,"[-0.9154909476207775, -0.4999999994684595, 0.35175879662755444]",Success
false,1.7965563509880407,true,"[-0.9154909476207775, -0.4999999994684595, 0.4522613091903685]",Success
false,1.8516216677297546,true,"[-0.9154909476207775, -0.4999999994684595, 0.5527638217531825]",Success
